,names,values
4263,Marisa Tomei,0.001651788083540791
19399,Shah Rukh Khan,0.001650672139516489
1227,Joe Roth,0.001648479831887985
2935,Lorenzo di Bonaventura,0.0016464858431020177
5948,Bill Paxton,0.0016458946702188804
5498,Gary Lucchesi,0.0016451322753978823
2716,Jesse Eisenberg,0.0016309515440404562
13562,Rogier Stoffers,0.0016283784392000604
169,Francis Ford Coppola,0.0016214942113901756
15917,Joon-ho Bong,0.00162089744293331
4265,Halle Berry,0.0016208452821277041
6604,Winona Ryder,0.0016153088094280016
4161,Will Ferrell,0.001610456330009237
36313,Hayedeh Safiyari,0.0016065924470181168
52,Deepak Nayar,0.0015977580229501582
8647,Natalie Portman,0.0015893246221650142
2215,Thomas Harris,0.0015871996360908751
2970,Sidney Kimmel,0.0015817941967533847
5994,Brendan Gleeson,0.001581287418545649
7595,Amrish Puri,0.001581170691971869
5870,Golshifteh Farahani,0.0015796179390676853
2338,Gabriel Byrne,0.0015769603999270356
1195,Bill Pullman,0.0015766641865593391
101,John Bailey,0.0015671262568801086
779,Julia Ormond,0.0015653121047633643
171,Jane Fonda,0.0015590899908099586
630,Tonino Guerra,0.0015582639225585786
28670,Mevlüt Koçak,0.0015566725540883718
14578,Toshio Suzuki,0.0015534660730285956
9557,Leo Tolstoy,0.001552390926222027
4279,Maria Bello,0.0015470958126370888
8369,Roque Baños,0.0015439705308061301
4743,Jon Voight,0.0015402919748688775
5896,Marc Missonnier,0.0015392002453637969
10612,Fatih Akin,0.0015385169361173975
7290,Lena Headey,0.0015373195358955112
3184,Annette Bening,0.0015351079322359976
32141,Kenji Kawai,0.0015313013633699276
10566,tomandandy,0.0015297261808284869
6392,Eddie Murphy,0.001526023240250538
11149,Mowg,0.0015221877280960675
5345,Jodie Foster,0.001515345449647637
25863,Saadet Aksoy,0.0015132137676744427
11197,Predrag 'Miki' Manojlovic,0.00151194647761382
14482,Udo Kier,0.0015114761915967934
2929,Gerard Butler,0.00150923605714086
15943,Dragos Bucur,0.001508202548917651
2907,Kate Hudson,0.0015015516733789002
3344,Tyler Bates,0.0014989892329986942
3713,George A. Romero,0.0014979171338590175
2927,Anthony Bregman,0.0014932283897402413
2340,Vincent D'Onofrio,0.0014902298243809967
5927,Rachel McAdams,0.0014893167019511108
4083,Andy Garcia,0.0014820632853158868
3816,Mark Johnson,0.001481739020575817
2884,Jason Bateman,0.0014759318915622797
2470,David Thewlis,0.0014748621156882712
723,Michael Nyman,0.001474284797096183
764,Steve Martin,0.0014717109919963165
1727,Jennifer Jason Leigh,0.001469722255580286
5196,Stanley Tucci,0.0014665488144462843
3508,Dylan McDermott,0.0014647672874711607
4258,Malcolm McDowell,0.0014603383508094566
4611,Adam Sandler,0.0014567221053895872
1226,Brian Robbins,0.0014547147236064581
6354,Renny Harlin,0.0014520775911099752
9547,Giles Nuttgens,0.001451436797607213
776,Brendan Fraser,0.0014504005762406022
26349,Philippe Bober,0.0014468178199837983
5346,Jennifer Lopez,0.0014439192295690447
3827,Justin Long,0.001442113318078425
9118,Michael Shannon,0.0014408197202033584
4615,John Turturro,0.0014307336647145221
3103,Rhys Ifans,0.0014279712534157505
558,Randy Edelman,0.001426738351351029
6842,Mark Monroe,0.0014242798499966495
3739,Bill Murray,0.0014211329098047438
3762,Brittany Murphy,0.0014208239315588258
4098,Patrick Doyle,0.0014208147033004735
650,Jason Robards,0.0014141840642405343
4270,Greg Kinnear,0.0014128858648544754
5449,Billy Crudup,0.001409702739766026
5274,Kati Outinen,0.0014086084600757824
3740,James Woods,0.001407617333177005
3176,Demi Moore,0.0014025968872017928
2889,Catherine Keener,0.0014018278405352877
12662,Michael Moore,0.0014003735467902302
13519,Takeshi Kitano,0.0013966755668114177
644,Dario Argento,0.0013905110636341603
6554,Marcelo Zarvos,0.0013863119921407683
1187,Cuba Gooding Jr.,0.0013829893702337877
7769,Chris Rock,0.001381581184500487
4446,Michael Keaton,0.0013785138682442515
19426,Ronnie Screwvala,0.001377154648358456
4272,Geoffrey Rush,0.0013744289574391282
14515,Hayao Miyazaki,0.0013719175585506743
4264,Michelle Yeoh,0.00136962713411004
9444,Emile Hirsch,0.0013680860937506194
28632,Kemal Sunal,0.0013559426627065409
4491,Bradley Cooper,0.0013535942718902049
5510,Tom Rosenberg,0.0013493537824319493
1335,Dominic West,0.0013492690989500746
3521,Thomas Jane,0.0013491650996721144
6832,Christopher Hampton,0.0013480128119043807
2208,Christopher Doyle,0.001346939005926289
134,Dino De Laurentiis,0.0013460646814385557
19355,Salman Khan,0.001343027960599916
4464,Anne Hathaway,0.0013399973272787765
4178,Jack Black,0.001337947845228867
19392,Rishi Kapoor,0.001334681342996419
16806,Byung-Hun Lee,0.0013172833243135602
8785,Milla Jovovich,0.0013161362827074858
4149,Rutger Hauer,0.0013143051881800165
2263,Yimou Zhang,0.0013141724528839404
19842,Yilmaz Erdogan,0.0013131123609894859
2482,Joseph Fiennes,0.001312420381973082
6808,Angelo Badalamenti,0.0013078354892938988
5228,Charlotte Gainsbourg,0.0013065774254180334
21044,Peter Safran,0.0013002969029213814
9217,Uday Chopra,0.0013002734019168973
6387,Anne Heche,0.0013002346284248282
2560,Shia LaBeouf,0.0012975551784709298
5689,Paul Brooks,0.0012962983811805147
6815,Djimon Hounsou,0.0012877985667888601
1406,Akira Kurosawa,0.0012873299550334593
3497,Billy Bob Thornton,0.0012869256608279368
4751,Philip K. Dick,0.0012849125512334296
